DATAFLOW,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CH,2017,25.3,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CH,2018,25.1,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2010,18.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2011,18.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2012,20.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2013,19.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2014,16.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2015,15.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2016,15.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2017,14.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2018,14.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CY,2019,15.6,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2010,28.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2011,27.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2012,27.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2013,27.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2014,26.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2015,26.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2016,26.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2017,25.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2018,26.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,CZ,2019,26.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2010,25.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2011,24.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2012,24.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2013,25.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2014,24.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2015,24.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2016,24.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2017,24.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2018,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DE,2019,23.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2010,29.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2011,29.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2012,29.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2013,30.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2014,29.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2015,29.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2016,29.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2017,28.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2018,28.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,DK,2019,27.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2010,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2011,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2012,24.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2013,24.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2014,24.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2015,24.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2016,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2017,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2018,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA,2019,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2010,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2011,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2012,24.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2013,24.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2014,24.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2015,24.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2016,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2017,23.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2018,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA12,2019,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2010,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2011,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2012,24.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2013,24.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2014,24.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2015,24.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2016,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2017,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2018,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EA19,2019,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2010,21.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2011,20.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2012,20.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2013,19.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2014,18.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2015,18.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2016,18.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2017,18.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2018,18.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EE,2019,18.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2010,20.9,b
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2011,22.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2012,24.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2013,23.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2014,22.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2015,21.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2016,21.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2017,20.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2018,19.7,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,EL,2019,19.1,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2010,22.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2011,23.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2012,23.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2013,24.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2014,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2015,23.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2016,22.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2017,22.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2018,21.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ES,2019,22.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2010,25.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2011,25.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2012,25.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2013,26.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2014,27.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2015,27.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2016,28.3,
