DATAFLOW,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CZ,2018,21.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,CZ,2019,20.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2010,27.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2011,28.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2012,27.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2013,28.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2014,27.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2015,27.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2016,27.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2017,26.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2018,26.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DE,2019,25.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2010,33.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2011,31.1,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2012,29.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2013,30.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2014,28.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2015,27.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2016,26.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2017,27.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2018,27.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,DK,2019,27.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2010,17.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2011,19.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2012,19.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2013,18.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2014,18.3,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2015,16.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2016,15.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2017,14.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2018,14.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EE,2019,14.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2010,29.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2011,32.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2012,37.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2013,39.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2014,42.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2015,42.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2016,41.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2017,41.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2018,40.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,EL,2019,38.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,TOTAL,PC,ES,2010,17.7,
