DATAFLOW,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2011,17.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2012,20.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2013,21.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2014,19.2,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2015,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2016,23.1,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2017,21.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2018,21.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2019,19.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,BG,2020,18.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2010,22.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2011,22.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2012,21.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2013,20.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2014,21.6,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2015,21.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2016,21.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2017,21.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2018,21.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CH,2019,21.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2010,10.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2011,10.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2012,11.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2013,11.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2014,12.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2015,12.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2016,11.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2017,10.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2018,10.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CY,2019,10.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2010,20.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2011,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2012,20.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2013,22.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2014,21.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2015,21.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2016,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2017,19.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2018,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,CZ,2019,17.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2010,23.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2011,24.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2012,23.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2013,24.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2014,22.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2015,22.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2016,22.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2017,22.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2018,21.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DE,2019,21.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2010,29.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2011,27.5,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2012,26.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2013,26.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2014,24.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2015,24.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2016,22.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2017,23.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2018,23.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2019,22.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,DK,2020,22.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2010,14.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2011,15.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2012,15.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2013,14.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2014,13.5,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2015,12.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2016,11.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2017,11.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2018,10.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2019,10.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EE,2020,17.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2010,23.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2011,25.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2012,29.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2013,30.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2014,33.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2015,33.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2016,33.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2017,33.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2018,34.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2019,32.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EL,2020,31.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2010,12.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2011,13.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2012,13.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2013,14.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2014,13.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2015,13.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2016,13.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2017,12.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2018,12.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,ES,2019,12.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2010,18.1,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2011,18.0,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2012,18.6,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2013,18.8,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2014,18.4,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2015,18.2,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2016,17.5,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2017,16.9,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2018,16.5,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,EU27_2020,2019,16.3,e
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2010,15.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2011,15.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2012,15.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2013,15.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2014,15.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2015,15.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2016,15.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2017,15.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2018,15.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2019,15.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FI,2020,15.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2010,15.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2011,15.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2012,15.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2013,15.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2014,15.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2015,16.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2016,15.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2017,15.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2018,14.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,FR,2019,14.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2010,19.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2011,13.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2012,14.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2013,15.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2014,16.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2015,14.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2016,14.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2017,13.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2018,12.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HR,2019,13.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2010,23.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2011,23.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2012,24.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2013,23.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2014,22.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2015,19.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2016,18.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2017,18.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2018,17.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2019,11.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,HU,2020,11.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2010,13.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2011,14.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2012,15.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2013,12.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2014,14.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2015,14.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2016,13.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2017,13.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2018,12.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IE,2019,13.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2010,20.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2011,22.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2012,21.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2013,20.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2014,19.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2015,19.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2016,18.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2017,19.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IS,2018,20.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2010,13.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2011,13.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2012,12.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2013,13.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2014,13.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2015,12.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2016,12.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2017,11.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2018,11.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,IT,2019,12.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2010,14.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2011,17.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2012,16.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2013,15.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2014,14.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2015,14.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2016,13.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2017,11.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2018,10.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LT,2019,10.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2010,11.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2011,11.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2012,11.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2013,11.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2014,11.0,
