DATAFLOW,freq,tenure,indic_il,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CY,2017,17218,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CY,2018,17582,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CY,2019,19302,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2010,7981,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2011,8440,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2012,8765,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2013,8695,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2014,8600,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2015,8345,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2016,8808,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2017,9282,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2018,10098,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,CZ,2019,11068,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2010,21470,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2011,21549,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2012,22022,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2013,22471,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2014,22540,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2015,23499,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2016,24020,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2017,24780,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2018,25882,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DE,2019,26105,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2010,26915,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2011,29377,b
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2012,29701,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2013,30081,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2014,31106,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2015,31518,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2016,32144,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2017,32798,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2018,33760,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,DK,2019,34336,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2010,6779,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2011,6571,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2012,7117,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2013,7846,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2014,8820,b
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2015,9490,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2016,10102,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2017,10701,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2018,11746,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EE,2019,12780,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2010,13974,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2011,12626,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2012,10676,
